height,angle,velocity,range,calculated range,difference between calculated and actual,Percent Difference
55,0,2.78,101.28,119.8029334,18.52293342,18.28883632
55,0,2.8,102.75,120.664825,17.91482503,17.43535283
55,0,2.81,102.92,121.0957708,18.17577084,17.66009603
60,0,2.939,117.13,126.6549717,9.524971703,8.131965938
60,0,2.858,105.88,123.1643107,17.28431069,16.32443398
60,0,2.861,105.42,123.2935944,17.87359443,16.95465228
65,0,3.118,111.9,134.3689016,22.46890159,20.07944735
65,0,2.975,105.86,128.2063766,22.3463766,21.10936765
65,0,3.161,111.04,136.2219685,25.18196855,22.67828579
70,0,3.169,115.87,136.5667252,20.69672519,17.86202226
70,0,3.069,113.15,132.2572672,19.10726715,16.88667004
70,0,3.248,115.3,139.971197,24.67119704,21.39739552
75,0,3.234,118.58,139.3678729,20.78787291,17.53067373
75,0,3.303,120.62,142.341399,21.72139896,18.00812382
75,0,3.331,121,143.5480472,22.54804721,18.63474976
55,10,2.643,102.26,126.8419781,24.58197811,24.03870342
55,10,2.652,102.68,127.3199884,24.63998837,23.99687219
55,10,2.643,103.22,126.8419781,23.62197811,22.88507858
60,10,2.717,107.63,130.7820253,23.15202531,21.51075472
60,10,2.731,107.64,131.5299379,23.88993788,22.19429384
60,10,2.736,107.02,131.7972425,24.77724246,23.15197389
65,10,2.869,114.47,138.9449163,24.4749163,21.38107478
65,10,2.898,115.29,140.5130244,25.22302445,21.8778944
65,10,2.888,113.56,139.9719086,26.41190856,23.25810898
70,10,3.118,101.58,152.5215858,50.94158576,50.14922796
70,10,2.949,118.02,143.2790925,25.25909246,21.40238304
70,10,2.947,118.81,143.1704181,24.36041813,20.50367657
75,10,3.106,119.68,151.8614241,32.18142412,26.88955892
75,10,3.248,125.42,159.711639,34.29163898,27.34144393
75,10,3.303,128.27,162.7747642,34.50476424,26.90010465
55,20,2.499,96.27,126.9506855,30.68068548,31.86941465
55,20,2.469,95.36,125.1372959,29.77729592,31.22619119
60,20,2.652,114.14,136.3173658,22.17736576,19.42996825
60,20,2.582,112.43,132.0073124,19.5773124,17.41289015
60,20,2.634,105.6,135.2050814,29.60508144,28.035115
65,20,2.765,110.71,143.3633745,32.65337451,29.49451225
65,20,2.785,110.889,144.6218828,33.73288284,30.42040494
65,20,2.805,109.8,145.8838419,36.08384194,32.86324402
70,20,2.92,118.22,153.2073482,34.98734815,29.5951177
70,20,2.909,118.63,152.5018679,33.87186786,28.55253128
70,20,2.931,117.91,153.9138835,36.00388346,30.53505509
75,20,2.998,125.01,158.2401615,33.23016151,26.58200265
75,20,2.987,123.36,157.5271807,34.1671807,27.69713092
75,20,2.964,120.56,156.0398285,35.47982852,29.42918756
55,30,2.301,89.38,116.406375,27.02637496,30.23760904
55,30,2.248,89.77,113.0677179,23.29771793,25.95267677
55,30,2.203,88.18,110.2595495,22.07954946,25.03918061
60,30,2.437,98.52,125.1294622,26.60946218,27.00919831
60,30,2.356,98.18,119.9069604,21.72696044,22.12972137
60,30,2.342,93.32,119.0124178,25.69241777,27.53152355
65,30,2.508,116.68,129.7734072,13.09340717,11.22163796
65,30,2.5,114.69,129.2470392,14.55703924,12.69250958
65,30,2.524,117.98,130.8285168,12.84851678,10.89041938
70,30,2.652,110.41,139.3839074,28.97390739,26.24210433
70,30,2.661,112.19,139.993157,27.80315699,24.78220607
70,30,2.67,114.98,140.6034229,25.62342288,22.28511296
75,30,2.78,120,148.1446818,28.14468184,23.45390154
75,30,2.82,120.83,150.9249413,30.09494134,24.90684544
75,30,2.795,122.34,149.1848959,26.84489592,21.94286081
55,40,2.155,72.04,102.5363957,30.49639568,42.332587
55,40,2.086,68.98,98.32018647,29.34018647,42.53433817
55,40,2.143,71.11,101.7982462,30.68824621,43.15602055
60,40,2.251,80.54,108.5162894,27.97628936,34.73589441
60,40,2.225,77.82,106.8835799,29.06357992,37.34718571
60,40,2.261,81.77,109.1468674,27.37686738,33.48033188
65,40,2.381,86.65,116.8277064,30.17770636,34.82712795
65,40,2.415,89.38,119.0424118,29.66241183,33.18685593
65,40,2.371,85.38,116.1795683,30.79956828,36.07351637
70,40,2.553,94.74,128.2077779,33.46777791,35.32592137
70,40,2.472,93.93,122.793707,28.86370702,30.72895456
70,40,2.536,96.5,127.0633501,30.56335009,31.67186538
75,40,2.654,103.72,135.0967761,31.37677606,30.25142312
75,40,2.667,104.68,135.9946897,31.31468968,29.91468253
75,40,2.639,102.21,134.0639084,31.85390838,31.16515838
